No.,Expression,Reading,Meaning
7754,同級,どうきゅう,"the same grade, same class"
7755,同居,どうきょ,living together
7756,登校,とうこう,attendance (at school)
7757,統合,とうごう,"integration, unification, synthesis"
7758,動向,どうこう,"trend, tendency, movement, attitude"
7759,投資,とうし,investment
7760,同情,どうじょう,"sympathy, compassion, sympathize"
7761,道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala"
7762,統制,とうせい,"regulation, control"
7763,当選,とうせん,"being elected, winning the prize"
7764,逃走,とうそう,"flight, desertion, escape"
7765,統率,とうそつ,"command, generalship, leadership"
7766,到達,とうたつ,"reaching, attaining, arrival"
7767,統治,とうち,"rule, reign, governing"
7768,仕切る,しきる,"to partition, to divide, to mark off"
7769,資金,しきん,"funds, capital"
7770,軸,じく,"axis, stem, shaft"
7771,しくじる,しくじる,"to fail, to fall through, to blunder"
7772,仕組,しくみ,"structure, mechanism"
7773,死刑,しけい,death penalty
7774,湿気る,しける,"to be damp, to be moist"
7775,施行,しこう,"enforcement, operation"
7776,思考,しこう,thought
7777,志向,しこう,"intention, aim"
7778,嗜好,しこう,"taste, liking, preference"
7779,事項,じこう,"matter(s), item(s), facts"
7780,時刻表,じこくひょう,"timetable, (train) schedule"
7781,地獄,じごく,hell
7782,時差,じさ,time difference
7783,自在,じざい,"freely, at will"
7784,視察,しさつ,"inspection, observation"
7785,資産,しさん,"property, fortune, assets"
7786,支持,しじ,support
7787,自主,じしゅ,"independence, autonomy"
7788,自首,じしゅ,"surrender, give oneself up"
7789,刺繍,ししゅう,embroidery
7790,市場,しじょう,(the) market (as a concept)
7791,辞職,じしょく,resignation
7792,雫,しずく,drop (of water)
7793,システム,システム,system
7794,沈める,しずめる,"to sink, to submerge"
7795,施設,しせつ,"establishment, facility"
7796,事前,じぜん,"prior, beforehand, in advance"
7797,子息,しそく,(hon.) son
7798,持続,じぞく,"continuation, endurance"
7799,自尊心,じそんしん,"self-respect, conceit"
7800,慕う,したう,to yearn to adore
7801,下心,したごころ,"secret intention, motive"
7802,下地,したじ,"groundwork, foundation"
7803,親しむ,したしむ,"to be intimate with, to befriend"
7804,下調べ,したしらべ,preliminary investigation
7805,愛想,あいそう,sociability
7806,間柄,あいだがら,relationship
7807,合間,あいま,interval
7808,敢えて,あえて,"dare (to do), venture (to do), challenge (to do)"
7809,仰ぐ,あおぐ,"to look up (to), to respect; to ask for"
7810,垢,あか,"dirt, filth"
7811,赤字,あかじ,"deficit, go in the red"
7812,明かす,あかす,to reveal; to stay up
7813,赤らむ,あからむ,"to become red, to blush"
7814,上がり,あがり,"ascent; income; completion, stop"
7815,諦め,あきらめ,"resignation, reconciliation, consolation"
7816,アクセル,アクセル,(abbr.) accelerator
7817,あくどい,あくどい,gaudy vicious
7818,顎,あご,chin
7819,憧れ,あこがれ,"yearning, longing, aspiration"
7820,麻,あさ,hemp
7821,あざ,あざ,"birthmark, bruise"
7822,浅ましい,あさましい,"shameful, mean, despicable"
7823,欺く,あざむく,to deceive
7824,鮮やか,あざやか,"vivid, clear"
7825,嘲笑う,あざわらう,"to sneer at, to ridicule"
7826,悪しからず,あしからず,"don't take me wrong, but..., I'm sorry"
7827,味わい,あじわい,"flavor, relish"
7828,焦る,あせる,"to be in a hurry, to be impatient"
7829,あせる (こえが～),あせる (こえが～),"to fade, to discolor"
7830,値,あたい,"value, price, worth"
7831,値する,あたいする,"to be worth, to deserve"
7832,悪化,あっか,"deterioration, worsen"
7833,扱い,あつかい,"treatment, service"
7834,呆気ない,あっけない,"not enough, too quick (short, long, etc.)"
7835,あっさり,あっさり,"easily, readily, quickly"
7836,斡旋,あっせん,"kind offices, mediation"
7837,圧倒,あっとう,"overwhelm, overpower"
7838,圧迫,あっぱく,"pressure, coercion, oppression"
7839,あつらえる,あつらえる,"to give an order, to place an order"
7840,圧力,あつりょく,"stress, pressure"
7841,当て,あて,expectations; depend
7842,～宛,～あて,"for…(e.g., In a letter)"
7843,当て字,あてじ,"phonetic-equivalent character, substitute character"
7844,跡継ぎ,あとつぎ,"heir, successor"
7845,後回し,あとまわし,"putting off, postponing"
7846,油絵,あぶらえ,oil painting
7847,アプローチ,アプローチ,approach (in golf)
7848,あべこべ,あべこべ,"contrary, opposite, inverse"
7849,甘える,あまえる,"to behave like a spoiled child, to fawn on"
7850,雨具,あまぐ,rain gear
7851,甘口,あまくち,sweet flavor
7852,アマチュア,アマチュア,amateur
7853,網,あみ,net
7854,操る,あやつる,"to manipulate, to operate, to pull strings"
7855,危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful"
7856,あやふや,あやふや,"uncertain, vague, ambiguous"
7857,過ち,あやまち,"fault, error, indiscretion"
7858,誤る,あやまる,to make a mistake
7859,歩み,あゆみ,"step, progress, history"
7860,歩む,あゆむ,to walk
7861,予め,あらかじめ,"in advance, previously"
7862,荒らす,あらす,to damage; to invade
7863,争い,あらそい,"dispute, quarrel, conflict"
7864,改まる,あらたまる,to be renewed; to be formal
7865,荒っぽい,あらっぽい,"rough, rude"
7866,アラブ,アラブ,Arab
7867,霰,あられ,"hail (e.g., falling ice balls)"
7868,有り様,ありさま,"state, condition"
7869,ありのまま,ありのまま,"the truth, as it is, frankly"
7870,ありふれる,ありふれる,"common, ordinary, routine"
7871,アルカリ,アルカリ,alkali
7872,アルミ,アルミ,"aluminum (Al, aluminum)"
7873,アワー,アワー,hour
7874,合わす,あわす,"to join together, to face, to unite"
7875,～合せ,～あわせ,in all
7876,アンコール,アンコール,encore
7877,暗殺,あんさつ,assassination
7878,暗算,あんざん,mental arithmetic
7879,暗示,あんじ,"hint, suggestion"
7880,案じる,あんじる,"to be anxious, to ponder"
7881,安静,あんせい,rest
7882,案の定,あんのじょう,"sure enough, as usual"
7883,いい加減,いいかげん,"random, irresponsible"
7884,言い訳,いいわけ,"excuse, explanation"
7885,イェス,イェス,yes; Jesus
7886,家出,いえで,running away from home
7887,生かす,いかす,to keep something alive; to make use of
7888,いかに,いかに,"how, in what way"
7889,いかにも,いかにも,truly (same as 実に (じつに))
7890,異議,いぎ,"objection, dissent, protest"
7891,生き甲斐,いきがい,"something one lives for, very important"
7892,行き違い,いきちがい,"misunderstanding, disagreement"
7893,意気込む,いきごむ,to be enthusiastic about
7894,育成,いくせい,"rearing, training, cultivation"
7895,幾多,いくた,"many, numerous"
7896,"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers)
7897,異見,いけん,"different opinion, objection"
7898,意向,いこう,"intention, idea, inclination"
7899,移行,いこう,switching over to
7900,いざ,いざ,"now, come (now), crucial moment"
7901,移住,いじゅう,"migration, immigration"
7902,衣装,いしょう,"clothing, costume, outfit"
7903,いじる,いじる,"to touch, to tamper with"
7904,異性,いせい,the opposite sex
7905,遺跡,いせき,historic ruins
7906,依存,いぞん,"dependence, dependent, reliance"
7907,委託,いたく,"consign (goods (for sale) to a firm), entrust"
7908,いたって,いたって,"very much, exceedingly, extremely"
7909,出世,しゅっせ,"promotion, successful career, eminence"
7910,出題,しゅつだい,proposing a question
7911,出動,しゅつどう,"mobilization, action"
7912,出費,しゅっぴ,"expenses, disbursements"
7913,出品,しゅっぴん,"exhibit, display"
7914,主導,しゅどう,main leadership
7915,主任,しゅにん,"person in charge, responsible official"
7916,首脳,しゅのう,"head, leader"
7917,守備,しゅび,defense
7918,手法,しゅほう,technique
7919,樹木,じゅもく,"trees and shrubs, arbor"
7920,樹立,じゅりつ,"establish, create"
7921,準急,じゅんきゅう,"local express (train, slower than an express)"
7922,準じる,じゅんじる,"to follow, to conform, to apply to"
7923,～署,～しょ,department
7924,～症,～しょう,disease
7925,～証,～しょう,"proof, certificate"
7926,～嬢,～じょう,young woman
7927,上位,じょうい,"superior, higher order"
7928,上演,じょうえん,art performance
7929,城下,じょうか,land near the castle
7930,消去,しょうきょ,"elimination, erasing"
7931,上空,じょうくう,"sky, high-altitude sky, upper air"
7932,衝撃,しょうげき,"shock, crash, impact, ballistic"
7933,証言,しょうげん,"evidence, testimony"
7934,証拠,しょうこ,"evidence, proof"
7935,照合,しょうごう,"check, verification"
7936,詳細,しょうさい,"detail, particulars"
7937,上昇,じょうしょう,"rising, ascending, climbing"
7938,昇進,しょうしん,promotion
7939,称する,しょうする,"to take the name of, to call oneself"
7940,情勢,じょうせい,"state of things, condition, situation"
7941,消息,しょうそく,"news, letter, circumstances"
7942,承諾,しょうだく,"consent, agreement"
7943,情緒,じょうちょ,"emotion, feeling"
7944,情緒,じょうしょ,"emotion, feeling"
7945,象徴,しょうちょう,symbol
7946,小児科,しょうにか,pediatrics
7947,使用人,しようにん,"employee, servant"
7948,情熱,じょうねつ,"passion, enthusiasm, zeal"
7949,譲歩,じょうほ,"concession, conciliation, compromise"
7950,条約,じょうやく,"treaty, pact"
7951,勝利,しょうり,"victory, triumph, win"
7952,上陸,じょうりく,"landing, disembarkation"
7953,蒸溜,じょうりゅう,distillation
7954,奨励,しょうれい,"encouragement, promotion"
7955,ショー,ショー,show
7956,除外,じょがい,"exception, exclusion"
7957,職員,しょくいん,"staff member, personnel"
7958,植民地,しょくみんち,colony
7959,職務,しょくむ,professional duties
7960,諸君,しょくん,"Gentlemen!, Ladies!"
7961,助言,じょげん,"advice, suggestion"
7962,徐行,じょこう,going slowly
7963,所在,しょざい,whereabouts
7964,所持,しょじ,"possession, owning"
7965,所属,しょぞく,"attached to, belong to"
7966,処置,しょち,treatment
7967,しょっちゅう,しょっちゅう,"always, constantly"
7968,所定,しょてい,"fixed, prescribed"
7969,所得,しょとく,income
7970,処罰,しょばつ,punishment
7971,初版,しょはん,first edition
7972,書評,しょひょう,book review
7973,処分,しょぶん,"disposal, dealing, punishment"
7974,庶民,しょみん,"masses, common people"
7975,庶務,しょむ,general affairs
7976,所有,しょゆう,"one's possessions, ownership"
7977,調べ,しらべ,"investigation, inspection"
7978,自立,じりつ,"independence, self-reliance"
7979,記す,しるす,"to note, to write down"
7980,指令,しれい,"orders, instructions, directive"
7981,～心,～しん,mind of ~
7982,陣,じん,"battle formation, camp, encampment"
7983,進化,しんか,"evolution, progress"
7984,人格,じんかく,"personality, character"
7985,審議,しんぎ,deliberation
7986,新婚,しんこん,newly-wed
7987,審査,しんさ,"judging, inspection, examination"
7988,人材,じんざい,man of talent
7989,紳士,しんし,gentleman
7990,真実,しんじつ,"truth, reality"
7991,信者,しんじゃ,"believer, devotee"
7992,真珠,しんじゅ,pearl
7993,進出,しんしゅつ,advancement
7994,心情,しんじょう,mentality
7995,新人,しんじん,"new face, newcomer"
7996,神聖,しんせい,"holiness, sacredness, dignity"
7997,親善,しんぜん,friendship
7998,真相,しんそう,"truth, real situation"
7999,迅速,じんそく,"quick, fast, prompt"
8000,人体,じんたい,human body
8001,新築,しんちく,"new building, new construction"
8002,心中,しんじゅう,double suicide
8003,進呈,しんてい,presentation
8004,進展,しんてん,"progress, development"
8005,神殿,しんでん,"temple, sacred place"
8006,進度,しんど,progress
8007,振動,しんどう,"oscillation, vibration"
8008,新入生,しんにゅうせい,"new student, first-year student, freshman"
8009,信任,しんにん,"trust, confidence, credence"
8010,神秘,しんぴ,mystery
8011,辛抱,しんぼう,"patience, endurance"
8012,人民,じんみん,"people, public"
8013,侵略,しんりゃく,"aggression, invasion, raid"
8014,診療,しんりょう,medical examination and treatment
8015,粋,すい,essence
8016,水源,すいげん,source of river
8017,推進,すいしん,"propulsion, driving force"
8018,吹奏,すいそう,playing wind instruments
8019,推測,すいそく,"guess, conjecture"
8020,水田,すいでん,(water-filled) paddy field
8021,推理,すいり,"reasoning, inference, mystery or detective genre"
8022,数詞,すうし,numeral
8023,崇拝,すうはい,"worship, adoration"
8024,据え付ける,すえつける,"to install, to equip, to mount"
8025,据える,すえる,"to set, to lay, to place"
8026,すがすがしい,すがすがしい,"fresh, refreshing"
8027,救い,すくい,"help, aid, relief"
8028,すくう (みずを～),すくう (みずを～),to scoop
8029,健やか,すこやか,"vigorous, healthy, sound"
8030,濯ぐ,すすぐ,"to rinse, to wash out"
8031,進み,すすみ,progress
8032,裾,すそ,"(trouser) cuff, (skirt) hem, cut edge of a hairdo"
8033,スタジオ,スタジオ,studio
8034,スチーム,スチーム,steam
8035,ストライキ,ストライキ,strike
8036,スト,スト,(abbr.) strike
8037,ストロー,ストロー,straw
8038,ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)"
8039,すばしこい,すばしこい,"nimble, smart, quick"
8040,素早い,すばやい,"fast, quick"
8041,ずばり,ずばり,"decisively, unreservedly, frankly"
8042,スプリング,スプリング,spring
8043,スペース,スペース,space
8044,ずぶぬれ,ずぶぬれ,"soaked, dripping wet"
8045,スポーツカー,スポーツカー,sports car
8046,澄ます,すます,"to clear, to make clear, to listen for"
8047,清ます,すます,"to clear, to make clear, to listen for"
8048,済ます,すます,to finish; to settle; to do without
8049,すみやか,すみやか,speedy
8050,スラックス,スラックス,slacks
8051,ずらっと,ずらっと,"in a line, in a row"
8052,ずるずる,ずるずる,"dragging on, sound of sniffling"
8053,ずれ,ずれ,"difference, gap"
8054,すれちがい,すれちがい,chance encounter
8055,擦れる,すれる,"to rub, to chafe"
8056,すんなり,すんなり,"pass with no objection, slim, slender"
8057,生育,せいいく,"growth, development, breeding"
8058,成育,せいいく,"growth, raising"
8059,成果,せいか,"results, fruits"
8060,正解,せいかい,"correct, right answer, solution"
8061,正義,せいぎ,"justice, right, righteousness"
8062,生計,せいけい,"livelihood, living"
8063,政権,せいけん,"(political) administration, political power"
8064,星座,せいざ,constellation
8065,制裁,せいさい,"restraint, sanctions, punishment"
8066,政策,せいさく,"political measures, policy"
8067,生死,せいし,life and death
8068,静止,せいし,"stillness, repose, standing still"
8069,誠実,せいじつ,"sincere, honest, faithful"
8070,成熟,せいじゅく,"maturity, ripeness"
8071,青春,せいしゅん,"youth, springtime of life, adolescent"
8072,清純,せいじゅん,"purity, innocence"
8073,聖書,せいしょ,Bible
8074,正常,せいじょう,"normalcy, normality, normal"
8075,制する,せいする,"to control, to command"
8076,整然,せいぜん,"orderly, regular, well-organized"
8077,盛装,せいそう,"be dressed up, wear rich clothes"
8078,盛大,せいだい,"grand, prosperous, magnificent"
8079,清濁,せいだく,"good and evil, purity and impurity"
8080,制定,せいてい,"enactment, establishment, creation"
8081,静的,せいてき,static
8082,製鉄,せいてつ,iron manufacture
8083,晴天,せいてん,fine weather
8084,正当,せいとう,"just, due, proper"
8085,制服,せいふく,uniform
8086,征服,せいふく,"conquest, subjugation, overcoming"
8087,製法,せいほう,"manufacturing method, recipe, formula"
8088,精密,せいみつ,"precise, exact, detailed, minute"
8089,税務署,ぜいむしょ,tax office
8090,制約,せいやく,"limitation, constraints"
8091,勢力,せいりょく,"influence, power, might, strength"
8092,整列,せいれつ,"stand in a row, form a line"
8093,セール,セール,sale
8094,急かす,せかす,"to hurry, to urge on"
8095,伜,せがれ,"son, my son"
8096,責務,せきむ,"duty, obligation"
8097,セクション,セクション,section
8098,世辞,せじ,"flattery, compliment"
8099,世帯,せたい,household
8100,是正,ぜせい,"correction, revision"
8101,世代,せだい,generation
8102,切開,せっかい,"opening up, cutting through"
8103,セックス,セックス,sex
8104,切実,せつじつ,"compelling, serious, severe, acute"
8105,接触,せっしょく,"touch, contact"
8106,接続詞,せつぞくし,conjunction
8107,設置,せっち,"establishment, institution"
8108,折衷,せっちゅう,"compromise, cross, blending, eclecticism"
8109,設定,せってい,"establishment, creation"
8110,説得,せっとく,persuasion
8111,切ない,せつない,"painful, trying, sad"
8112,絶版,ぜっぱん,out of print
8113,設立,せつりつ,"establishment, foundation, institution"
8114,攻め,せめ,"attack, offense"
8115,ゼリー,ゼリー,jelly
8116,セレモニー,セレモニー,ceremony
8117,世論,せろん,public opinion
8118,先,せん,"priority, precedence, previous"
8119,繊維,せんい,"fiber, fiber, textile"
8120,全快,ぜんかい,complete recovery of health
8121,宣教,せんきょう,religious mission
8122,宣言,せんげん,"declaration, proclamation, announcement"
8123,戦災,せんさい,war damage
8124,専修,せんしゅう,specialization
8125,戦術,せんじゅつ,tactics
8126,センス,センス,"sense (for music, style, tact, etc.)"
8127,潜水,せんすい,diving
8128,全盛,ぜんせい,height of prosperity
8129,先代,せんだい,"family predecessor, previous age, previous generation"
8130,先だって,せんだって,"recently, the other day"
8131,先着,せんちゃく,first arrival
8132,前提,ぜんてい,"preamble, premise, prerequisite"
8133,先天的,せんてんてき,"inherent, congenital, hereditary"
8134,前途,ぜんと,"future prospects, outlook, the journey ahead"
8135,戦闘,せんとう,"battle, fight, combat"
8136,潜入,せんにゅう,"infiltration, sneaking in"
8137,船舶,せんぱく,ship
8138,全滅,ぜんめつ,annihilation
8139,専用,せんよう,"exclusive use, personal use"
8140,占領,せんりょう,"occupation, possession, have a room to oneself"
8141,善良,ぜんりょう,"goodness, excellence, virtue"
8142,戦力,せんりょく,war potential
8143,前例,ぜんれい,precedent
8144,相応,そうおう,"suitability, fitness"
8145,総会,そうかい,general meeting
8146,創刊,そうかん,"launching (e.g., newspaper, first issue)"
8147,雑木,ぞうき,"various kinds of small trees, assorted trees"
8148,早急,そうきゅう,urgent
8149,早急,さっきゅう,urgent
8150,増強,ぞうきょう,"reinforce, increase"
8151,送金,そうきん,"remittance, sending money"
8152,走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)"
8153,総合,そうごう,"synthesis, generalization"
8154,捜索,そうさく,"search (esp. for someone or something missing, investigation)"
8155,蔵相,ぞうしょう,Minister of Finance
8156,装飾,そうしょく,ornament
8157,増進,ぞうしん,"promoting, increase, advance"
8158,相対,そうたい,relative
8159,壮大,そうだい,"magnificent, grand, majestic"
8160,騒動,そうどう,"strife, riot, rebellion"
8161,遭難,そうなん,"disaster, shipwreck, accident"
8162,相場,そうば,"market price, speculation, estimation"
8163,装備,そうび,equipment
8164,創立,そうりつ,"establishment, founding"
8165,添える,そえる,"to add to, to attach, to accompany"
8166,ソース,ソース,source
8167,即座に,そくざに,"immediately, right away"
8168,促進,そくしん,"promotion, acceleration, encouragement"
8169,即する,そくする,"to conform to, to agree with, to be adapted to,"
8170,束縛,そくばく,"restraint, restriction, confinement"
8171,側面,そくめん,"side, sidelight, lateral"
8172,損う,そこなう,"to harm, to hurt"
8173,そこら,そこら,"everywhere, somewhere"
8174,素材,そざい,"raw materials, subject matter"
8175,阻止,そし,"obstruction, check, hindrance"
8176,訴訟,そしょう,"litigation, lawsuit"
8177,育ち,そだち,"breeding, growth"
8178,措置,そち,"measure, step"
8179,ソックス,ソックス,socks
8180,素っ気無い,そっけない,"cold, short, curt, blunt"
8181,外方,そっぽ,look (or turn) the other way
8182,備え付ける,そなえつける,"to provide, to equip, to install"
8183,備わる,そなわる,to be furnished with
8184,具わる,そなわる,to be furnished with
8185,聳える,そびえる,"to rise, to tower, to soar"
8186,素朴,そぼく,"simplicity, artlessness, naivety"
8187,背く,そむく,"to run counter to, to go against"
8188,染まる,そまる,to be dyed
8189,染める,そめる,"to dye, to color"
8190,そらす,そらす,"to bend, to warp"
8191,そり (～にのる),そり (～にのる),"sleigh, sled"
8192,反る,そる,"to warp, to be warped, to curve"
8193,それゆえ,それゆえ,"therefore, for that reason, so"
8194,ソロ,ソロ,solo
8195,揃い,そろい,"set, suit, uniform"
8196,ぞんざい,ぞんざい,"rude, careless, slovenly"
8197,損失,そんしつ,loss
8198,存続,そんぞく,"duration, continuance"
8199,ダース,ダース,dozen
8200,対応,たいおう,dealing with
8201,大家,たいか,"rich family, distinguished family"
8202,退化,たいか,"degeneration, retrogression"
8203,大概,たいがい,"in general, mainly"
8204,体格,たいかく,"physique, constitution"
8205,大金,たいきん,large amount of money
8206,待遇,たいぐう,"treatment, reception"
8207,対決,たいけつ,"confrontation, showdown"
8208,体験,たいけん,personal experience
8209,対抗,たいこう,"opposition, antagonism"
8210,退治,たいじ,extermination
8211,大衆,たいしゅう,general public
8212,対処,たいしょ,"deal with, cope"
8213,退職,たいしょく,retirement (from office)
8214,題する,だいする,to title
8215,態勢,たいせい,"attitude, conditions, tendency"
8216,対談,たいだん,"talk, dialogue"
8217,大胆,だいたん,"bold, daring, audacious"
8218,対等,たいとう,equivalent
8219,台無し,だいなし,"mess, spoiled, (come to) nothing"
8220,滞納,たいのう,"non-payment, default"
8221,対比,たいひ,"contrast, comparison"
8222,タイピスト,タイピスト,typist
8223,大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)"
8224,大便,だいべん,feces
8225,代弁,だいべん,speak for another
8226,待望,たいぼう,"long-expected, waiting"
8227,台本,だいほん,"libretto, scenario"
8228,タイマー,タイマー,timer
8229,怠慢,たいまん,"negligence, carelessness"
8230,タイミング,タイミング,timing
8231,タイム,タイム,time
8232,タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI"
8233,対面,たいめん,"interview, meeting"
8234,代用,だいよう,substitution
8235,体力,たいりょく,physical strength
8236,タイル,タイル,tile
8237,対話,たいわ,"conversation, dialogue"
8238,耐える,たえる,"to endure, to put up with"
8239,堪える,たえる,"to endure, to put up with"
8240,絶える,たえる,"to die out, to become extinct"
8241,断える,たえる,"to cease, to become extinct"
8242,打開,だかい,"solution, breakthrough"
8243,焚火,たきび,(open) fire
8244,妥協,だきょう,"compromise, giving in"
8245,たくましい,たくましい,"burly, strong, sturdy"
8246,巧み,たくみ,"skill, cleverness"
8247,丈,たけ,"length, height"
8248,打撃,だげき,"blow, damage; batting (baseball)"
8249,妥結,だけつ,agreement
8250,駄作,ださく,poor work
8251,足し算,たしざん,addition
8252,多数決,たすうけつ,majority rule
8253,助け,たすけ,assistance
8254,携わる,たずさわる,"to engage, to involve"
8255,漂う,ただよう,"to drift about, to float, to hang in air"
8256,立ち去る,たちさる,"to leave, to depart"
8257,立ち寄る,たちよる,"to stop by, to drop in for a short visit"
8258,抱っこ,だっこ,(child's) hug
8259,達者,たっしゃ,"skillful, in good health"
8260,脱出,だっしゅつ,escape
8261,脱する,だっする,"to escape from, to get out"
8262,達成,たっせい,achievement
8263,脱退,だったい,"secession, withdrawal"
8264,だったら,だったら,if it's the case
8265,立て替える,たてかえる,"to pay in advance, to pay for another"
8266,建前,たてまえ,position; stance one takes in public; principle
8267,奉る,たてまつる,"to offer, to do respectfully"
8268,だと,だと,if it's the case
8269,他動詞,たどうし,transitive verb (direct object)
8270,辿り着く,たどりつく,"to reach, to make it somehow"
8271,辿る,たどる,"to follow (road, to pursue (course), to follow up"
8272,束ねる,たばねる,"to tie up in a bundle, to control"
8273,だぶだぶ,だぶだぶ,"loose, baggy"
8274,他方,たほう,"another side, on the other hand"
8275,多忙,たぼう,busy
8276,給う,たまう,"to receive, to grant"
8277,魂,たましい,"soul, spirit"
8278,溜まり,たまり,"collected things, gathering place, arrears"
8279,賜る,たまわる,"to grant, to bestow"
8280,保つ,たもつ,"to keep, to preserve, to sustain"
8281,たやすい,たやすい,"easy, simple, light"
8282,多様,たよう,"diversity, variety"
8283,だるい,だるい,"sluggish, feel heavy (tired), languid"
8284,弛み,たるみ,"slack, slackening"
8285,弛む,たるむ,"to slacken, to loosen, to relax"
8286,垂れる,たれる,"to hang, to droop; to drip"
8287,タレント,タレント,"talent, star, personality"
8288,タワー,タワー,tower
8289,単一,たんいつ,"single, simple, sole"
8290,短歌,たんか,31-syllable Japanese poem
8291,担架,たんか,"stretcher, litter"
8292,短気,たんき,quick temper
8293,団結,だんけつ,"unity, union, solidarity"
8294,探検,たんけん,"exploration, expedition"
8295,断言,だんげん,"assertion, declaration, affirmation"
8296,短縮,たんしゅく,"shortening, abbreviation, reduction"
8297,断然,だんぜん,"firmly, absolutely, definitely"
8298,炭素,たんそ,carbon (C)
8299,短大,たんだい,junior college
8300,単調,たんちょう,"monotony, monotone, dullness"
8301,単独,たんどく,"sole, single"
8302,旦那,だんな,"master (of house), husband (informal)"
8303,短波,たんぱ,short wave
8304,蛋白質,たんぱくしつ,protein
8305,ダンプ,ダンプ,dump truck
8306,断面,だんめん,cross section
8307,弾力,だんりょく,"elasticity, flexibility"
8308,治安,ちあん,"public order, security"
8309,チームワーク,チームワーク,teamwork
8310,チェンジ,チェンジ,change
8311,違える,ちがえる,to change
8312,畜産,ちくさん,animal husbandry
8313,畜生,ちくしょう,"beast, brute, damn"
8314,蓄積,ちくせき,"accumulation, accumulate, store"
8315,地形,ちけい,"landform, geographical features, topography"
8316,知性,ちせい,intelligence
8317,乳,ちち,"milk, breast, loop"
8318,縮まる,ちぢまる,"to be shortened, to be contracted, to shrink"
8319,秩序,ちつじょ,"order, regularity"
8320,窒息,ちっそく,suffocation
8321,知的,ちてき,intellectual
8322,着手,ちゃくしゅ,"embarkation, launch"
8323,着色,ちゃくしょく,"coloring, coloring"
8324,着席,ちゃくせき,"sit down, seat"
8325,着目,ちゃくもく,attention
8326,着陸,ちゃくりく,"landing, touch down"
8327,着工,ちゃっこう,start of (construction) work
8328,茶の間,ちゃのま,living room (Japanese style)
8329,茶の湯,ちゃのゆ,tea ceremony
8330,ちやほや,ちやほや,"pamper, make a fuss of, spoil"
8331,チャンネル,チャンネル,a channel
8332,宙返り,ちゅうがえり,"somersault, looping-the-loop"
8333,中継,ちゅうけい,"relay, hook-up"
8334,忠告,ちゅうこく,"advice, warning"
8335,中傷,ちゅうしょう,"slander, libel, defamation"
8336,中枢,ちゅうすう,"center, mainstay, nucleus"
8337,抽選,ちゅうせん,"lottery, raffle, drawing (of lots)"
8338,中断,ちゅうだん,"interruption, suspension, break"
8339,中毒,ちゅうどく,poisoning
8340,中腹,ちゅうふく,"mountain side, halfway up"
8341,中立,ちゅうりつ,neutrality
8342,中和,ちゅうわ,"neutralize, counteract"
8343,～著,～ちょ,written by ~
8344,腸,ちょう,"bowels, intestines"
8345,蝶,ちょう,butterfly
8346,超,ちょう,"super-, ultra-, hyper-"
8347,調印,ちょういん,"signature, sign, sealing"
8348,聴覚,ちょうかく,the sense of hearing
8349,長官,ちょうかん,"chief, (government) secretary"
8350,聴講,ちょうこう,"lecture attendance, auditing"
8351,徴収,ちょうしゅう,"collection, levy"
8352,聴診器,ちょうしんき,stethoscope
8353,調停,ちょうてい,"arbitration, conciliation, mediation"
8354,重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration"
8355,長編,ちょうへん,"long (e.g., novel, film)"
8356,重宝,ちょうほう,"convenient, useful"
8357,調理,ちょうり,cooking
8358,調和,ちょうわ,harmony
8359,ちょくちょく,ちょくちょく,"often, frequently, now and then, occasionally"
8360,直面,ちょくめん,confrontation
8361,著書,ちょしょ,"literary work, book"
8362,貯蓄,ちょちく,savings
8363,直感,ちょっかん,"intuition, instinct"
8364,著名,ちょめい,"well-known, noted, celebrated"
8365,ちらっと,ちらっと,"at a glance, by accident"
8366,塵,ちり,"dust, dirt"
8367,塵取り,ちりとり,dustpan
8368,賃金,ちんぎん,wages
8369,沈殿,ちんでん,"precipitation, deposition, settlement"
8370,沈没,ちんぼつ,"sinking, foundering"
8371,沈黙,ちんもく,"silence, reticence"
8372,陳列,ちんれつ,"exhibition, display, show"
8373,追及,ついきゅう,"investigation, inquiry"
8374,追跡,ついせき,pursuit
8375,追放,ついほう,"exile, banishment"
8376,費やす,ついやす,"to spend, to devote, to waste"
8377,墜落,ついらく,"falling, crashing"
8378,痛感,つうかん,"feeling keenly, fully realizing"
8379,通常,つうじょう,"common, normal, usual"
8380,痛切,つうせつ,"keen, deep"
8381,杖,つえ,cane
8382,使い道,つかいみち,use
8383,仕える,つかえる,"to serve, to work for"
8384,司る,つかさどる,"to rule, to govern, to administer"
8385,つかの間,つかのま,"moment, brief time,"
8386,月並,つきなみ,"conventional, trite, common"
8387,継目,つぎめ,"joint, seam"
8388,尽きる,つきる,"to be used up, to be run out"
8389,尽くす,つくす,"to exhaust, to run out; to devote, to serve"
8390,つくづく,つくづく,"completely, really"
