Expression,Meaning
なるたけ,"as much as possible, if possible"
慣れ,"practice, experience"
馴々しい,"familiar, make free with"
～なんか,in the least ~
ナンセンス,nonsense
何だか,"a little, somewhat, somehow"
なんだかんだ,something or other
なんなり,"anything, whatever"
荷,"load, baggage, cargo"
似通う,to resemble closely
にきび,"pimple, acne"
賑わう,"to prosper, to flourish, to be crowded with people"
憎しみ,hatred
肉親,"blood relationship, blood relative"
肉体,"the body, the flesh"
逃げ出す,"to run away, to escape from"
西日,westering sun
滲む,"to run, to blur, to spread"
にせ物,"imitation, counterfeit"
日夜,"day and night, always"
荷造り,"packing, baling, crating"
担う,"to carry on shoulder, to bear (burden), to shoulder (gun)"
鈍る,"to become less capable, to grow dull, to become blunt, to weaken"
にも関わらず,"in spite of, nevertheless"
ニュアンス,nuance
ニュー,new
入手,"obtaining, coming to hand"
入賞,winning a prize or place (in a contest
入浴,"bathe, bathing"
尿,urine
認識,"recognition, cognizance"
妊娠,"conception, pregnancy"
任務,"duty, mission, task"
任命,"appointment, nomination, ordination"
抜かす,"to omit, to leave out"
抜け出す,"to slip out, to sneak away, to excel"
主,"owner, master, god"
沼,"swamp, bog, pond"
音色,"tone color, timbre"
値打ち,"value, worth, price"
ネガ,(photographic) negative
寝かせる,"to put to bed, to lay down, to ferment"
ねじまわし,screwdriver
捩れる,"twist, strain"
妬む,"to be jealous, to be envious"
ねだる,"to nag, to demand"
熱意,"zeal, enthusiasm"
熱湯,boiling water
熱量,calorific value
粘り,"stickiness, viscosity"
粘る,"to be sticky, to be adhesive, to persist, to stick to"
値引き,"price reduction, discount"
根回し,making necessary arrangements
眠たい,sleepy
練る,"to knead, to work over, to polish up"
念,"sense, feeling, desire"
年賀,"New Year's greetings, New Year's card"
念願,"one's heart's desire, earnest petition"
年号,"name of an era, year number"
燃焼,"burning, combustion"
年長,seniority
燃料,fuel
年輪,annual tree ring
ノイローゼ,neurosis (GER: Neurose)
農耕,"farming, agriculture"
農場,farm
農地,agricultural land
納入,"payment, supply"
逃す,"to let loose, to set free, to let escape"
逃れる,to escape
軒並,row of houses; uniformly
望ましい,"desirable, hoped for"
乗っ取る,"to capture, to occupy, to take over"
のどか,"tranquil, calm, quiet"
罵る,"to speak ill of, to abuse"
延べ,"futures, credit (buying), stretching, total"
飲み込む,"to gulp down, to swallow deeply, to understand"
乗り込む,"to board, to get into (a car); to march into, to enter"
刃,"blade, sword"
～派,"group, party, section (mil)"
バー,bar
把握,"grasp, catch, understanding"
パート,part-time job
廃棄,"disposal, abandon, discarding"
配給,"distribution (e.g., films, rice"
ばい菌,"bacteria, germ(s)"
配偶者,spouse
拝啓,-- a formal greeting used at the beginning of a letter --
背景,"background, scenery, setting"
背後,"back, rear"
廃止,"abolition, repeal"
拝借,(humble) (polite) borrowing
排除,"exclusion, removal, rejection"
賠償,"reparations, indemnity, compensation"
排水,drainage
敗戦,"defeat, losing a war"
配置,"arrangement (of resources), disposition"
配布,distribution
配分,"distribution, allotment"
敗北,defeat (as a verb it means 'to be defeated')
倍率,"diameter, magnification"
配慮,"consideration, concern, forethought"
配列,"arrangement, array (programming)"
破壊,destruction
いたわる,"to sympathize with, to console, to care for"
一概に,"unconditionally, necessarily"
著しい,"remarkable, considerable"
一同,"all present, all concerned, all of us"
一部分,"a part, a portion"
一別,parting
一面,"one side, the other hand"
一目,"a glance, a look, a glimpse"
一様,"uniform, similar, equal"
一律,"even, uniform, equal"
一連,"a series, a chain, a ream (of paper)"
一括,"all together, batch"
一気,"at one push, in one gulp"
一挙に,"at a stroke, with a single swoop"
一見,"a look, a glimpse, glance; first meeting"
一切,"without exception, the whole"
一心,"one mind, with rapt attention"
いっそ,"rather, sooner, might as well"
一変,complete change
意図,"intention, aim, design"
営む,"to carry on (e.g., in ceremony), to run a business"
挑む,to challenge
稲光,(flash of) lightning
祈り,"prayer, supplication"
いびき,snoring
今更,"now, again"
未だ,"yet, still"
移民,"emigrant, immigrant"
嫌々,"reluctantly, by no means, unwillingly"
卑しい,"greedy, vulgar, shabby"
いやに,"awfully, terribly"
いやらしい,"unpleasant, disgusting, indecent"
意欲,"will, desire, ambition"
威力,"power, might, authority"
衣類,"clothes, clothing, garments"
異論,"different opinion, objection"
印鑑,"stamp, seal"
陰気,"gloom, melancholy"
隠居,retirement; retired person
インターチェンジ,interchange
インターナショナル,international
インターフォン,"entry phone, intercom"
インテリ,"(abbr.) egghead, intelligentsia"
インフォメーション,information
インフレ,(abbr.) inflation
受かる,to pass (examination)
受け入れ,"receiving, acceptance"
受け入れる,"to accept, to receive"
受け継ぐ,"to inherit, to succeed"
受け付ける,"to be accepted, to receive (an application)"
受け止める,"to catch, to react to, to take"
受身,"passive, passive voice"
受持ち,"charge (of something), matter in one's charge"
動き,"movement, activity, trend"
埋める,"to bury, to fill"
嘘つき,liar
うたた寝,"dozing, napping"
打ち明ける,"to confess, to be open"
打ち切る,"to stop, to abort, to discontinue, to close"
打ち消し,"(gram) negation, denial, negative"
打ち込む,"to devote oneself to, to shoot into"
団扇,fan
内訳,"the items, breakdown, classification"
写し,"copy, duplicate"
訴え,"lawsuit, complaint"
うっとうしい,"weary, annoying"
うつむく,"to look downward, to stoop"
空ろ,"blank, hollow, empty"
器,"bowl, vessel, container"
腕前,"ability, skill, facility"
雨天,rainy weather
促す,"to urge, to suggest, to demand"
うぬぼれ,"pretension, conceit, hubris"
生まれつき,"by nature, by birth, native"
埋め込む,"to embed, implant"
梅干し,dried plum
裏返し,"inside out, reverse"
売り出し,(bargain) sale
売り出す,"to put on sale, to market"
潤う,to be moist; to profit by
浮気,"affair, to cheat"
上回る,to exceed
植わる,to be planted
運営,"management, administration, operation"
うんざり,"tedious, boring, being fed up with"
運送,"shipping, freight"
運賃,"freight rates, shipping expenses, (passenger) fare"
云々,"and so on, and so forth"
運搬,"transport, carriage"
運命,fate
運輸,transportation
運用,"making use of, application, practical use"
エアメール,air mail
～営,~ run
英字,English letter (character)
映写,projection
映像,"reflection, image"
英雄,"hero, great man"
液,"liquid, fluid"
閲覧,"inspection, reference, browse"
獲物,"game, spoils, trophy"
襟,"neck, collar"
エレガント,elegant
円滑,"harmony, smoothness"
縁側,"veranda, porch, balcony, open corridor"
沿岸,"coast, shore"
婉曲,"euphemistic, indirect, insinuating"
演出,"production (erg. play, direction)"
エンジニア,engineer
演じる,"to perform, to play (a part), to act"
演ずる,"to perform, to play (a part), to act"
沿線,along railway line
縁談,marriage proposal
遠方,"long way, distant place"
円満,"harmony, peace, smoothness"
追い込む,"to herd, to corner, to drive"
追い出す,"to expel, to drive out"
於いて,"at, in, on"
老いる,"to age, to grow old"
応急,emergency
黄金,gold
往診,"doctor's visit, house call"
応募,"subscription, application"
おおい (かん),hey
大方,"almost all, majority"
大柄,"large build, large pattern"
おおげさ,"grandiose, exaggerated"
大筋,"outline, summary"
大空,"heaven, the sky"
オートマチック,automatic
大幅,"full width, large scale, drastic"
おおまかな,"rough, approximate"
大水,flood
公,public
犯す,"to perpetrate, to violate"
侵す,"to invade, to raid, to trespass"
臆病,"cowardice, timidity"
遅らす,"to retard, to delay"
厳か,"majestic, dignified"
行い,"conduct, behavior, action"
おごる (ゆうしょくを～),to give (someone) a treat
収まる,to settle into; to be obtained
納まる,to settle into; to be obtained
治まる,"to be at peace, to calm down"
お産,(giving) birth
押し切る,to have one's own way
押し込む,"to push into, to crowd into"
惜しむ,"to be frugal, to value, to regret"
押し寄せる,"to push aside, to advance on"
雄,male (animal)
御世辞,"flattery, compliment"
襲う,to attack
遅くとも,at the latest
恐れ,"fear, horror"
恐れ入る,"to be filled with awe, to feel small"
おだてる,to flatter
落ち込む,to get depressed
落ち着き,"calm, composure"
落葉,fallen leaves
乙,2nd in rank
お使い,errand
おっかない,"frightening, scary"
お手上げ,"given in, given up hope"
おどおど,"coweringly, hesitantly"
脅す,"to threaten, to menace"
訪れる,to visit
お供,"attendant, companion"
衰える,"to become weak, to decline"
同い年,of the same age
自ずから,"naturally, as a matter of course"
怯える,to become frightened
おびただしい,"abundantly, innumerably"
脅かす,"to threaten, to coerce"
帯びる,"to bear, to carry, to be entrusted"
お袋,mother
覚え,"memory, sense, experience"
おまけ,a discount; something additional
お宮,Shinto shrine
おむつ,"diaper, nappy"
思い付き,"plan, idea, suggestion"
趣,"flavor, appearance, quaint"
赴く,"to go, to proceed"
重んじる,"to respect, to honor, to esteem, to prize"
重んずる,"to honor, to respect, to value"
親父,"one's father, old man, one's boss"
及び,"and, as well as"
及ぶ,"to reach, to extend"
折,"chance, occasion"
檻,"cage, pen, jail cell"
オリエンテーション,orientation
折り返す,"to turn up, to fold back"
織物,"textile, fabric"
俺,I (ego) (boastful first-person pronoun)
愚か,"foolish, stupid"
おろそか,"neglect, negligence, carelessness"
おんぶ,carrying on one's back (erg. Baby)
オンライン,on-line
温和,"gentle, mild, moderate"
我,ego
カーペット,carpet
～界,"world, circle, kingdom"
～街,town
改悪,"deterioration, changing for the worse"
海運,marine transportation
外貨,foreign money
改革,"reform, reformation, innovation"
貝殻,shell
外観,"appearance, exterior, facade"
階級,"class, rank, grade"
海峡,channel
会見,"interview, conference"
介護,nursing
開催,"holding a meeting, open an exhibition"
回収,"collection, recovery"
改修,"repair, improvement"
怪獣,monster
解除,"cancellation, release, cancel"
外相,Foreign Minister
害する,"to harm, to offend"
概説,"general statement, outline"
回送,forwarding
階層,"class, level, stratum, hierarchy"
開拓,"cultivation, pioneer"
会談,"conversation, interview"
改定,reform
改訂,revision
ガイド,guide
街道,highway
該当,"corresponding, answering to, coming under"
街頭,in the street
ガイドブック,guidebook
介入,intervention
概念,"general idea, concept, notion"
開発,"development, exploitation"
海抜,height above sea level
介抱,"nursing, looking after"
解剖,"dissection, autopsy"
外来,"(abbr.) imported, outpatient clinic"
回覧,circulation
概略,"outline, summary, gist"
海流,ocean current
改良,"improvement, reform"
回路,circuit (electric)
海路,sea route
省みる,to reflect
顧みる,"to look back, to turn around, to review"
顔付き,facial expression
課外,extracurricular
掲げる,"to hoist, to fly (a sail), to float (a flag)"
かかと,shoe heel
書き取る,"to write down, to take dictation"
掻き回す,"to stir up, to churn, to disturb"
かく (はじを),to humiliate oneself
～画,~ strokes
学芸,"arts and sciences, liberal arts"
格差,"difference, disparity"
拡散,"scattering, diffusion"
学士,university graduate
各種,"every kind, all sorts"
隔週,every other week
確信,"conviction, confidence"
革新,"reform, innovation"
学説,theory
確定,"fixed, decision"
カクテル,cocktail
獲得,"acquisition, possession"
楽譜,"score (music, sheet music)"
確保,"guarantee, insure, secure"
革命,revolution
確立,establishment
賭,"betting, gambling, a gamble"
掛～,credit
～掛け,"rack, hanger"
崖,cliff
駆け足,"running fast, double time"
家計,"household economy, family finances"
駆けっこ,(foot) race
加工,"manufacturing, processing, treatment"
化合,chemical combination
かさばる,to be bulky
かさむ,"to pile up, to increase"
箇条書,"itemized form, itemization"
頭,"head, chief"
微か,"faint, dim, weak"
霞む,"to grow hazy, to be misty"
擦る,"to rub, to chafe"
火星,Mars
化石,"fossil, petrifaction, fossilization"
河川,rivers
化繊,synthetic fibers
過疎,depopulation
片～,single ~
片言,"broken (in reference to speaking style, e.g., Japanese)"
傾ける,"to incline, to tilt, to bend"
固める,"to harden, to freeze, to fortify"
傍ら,"beside(s, while, nearby"
花壇,flower bed
家畜,"domestic animals, livestock, cattle"
且つ,"yet, and"
がっくり,heartbroken
合唱,"chorus, singing in a chorus"
がっしり,"firmly, solidly, tough"
合致,"agreement, concurrence, conforming to"
がっちり,"solidly built, tightly"
かつて,"once, before, formerly"
勝手,"kitchen; one's way, selfishness"
カット,"cut, cutting"
活発,"vigor, active"
合併,"combination, amalgamation, merger"
カテゴリー,category
叶う,to come true
叶える,"to grant (request, wish)"
金槌,(iron) hammer
かなわない,"be beyond one's power, be unable"
加入,"becoming a member, admission"
予て,"previously, already, lately"
庇う,"to protect someone, to&nbsp;&nbsp;cover up for someone"
株式,stock
かぶれる,to react to; to be influenced by
花粉,pollen
貨幣,"money, currency, coinage"
構える,to set up
過密,crowded
噛み切る,"to bite off, to gnaw through"
カムバック,comeback
カメラマン,cameraman
粥,rice porridge
体付き,"body build, figure"
絡む,"to entangle, to entwine"
かりに,"temporarily; if, for argument's sake"
カルテ,clinical records (GER: Karte)
ガレージ,garage (at house)
過労,"overwork, strain"
かろうじて,"barely, narrowly"
交す,to exchange
代る代る,alternately
簡易,"simplicity, easiness, quasi-"
灌漑,irrigation
眼科,ophthalmology
眼球,eyeball
玩具,toy
簡潔,"brevity, concise, simple"
還元,"resolution, reduction, return"
看護,nursing
漢語,"Chinese word, Sino-Japanese word"
頑固,"stubbornness, obstinacy"
勧告,"advice, counsel"
換算,"conversion, change, exchange"
監視,"observation, guarding, surveillance"
慣習,usual (historical) custom
観衆,"spectators, audience"
願書,application form
干渉,"interference, intervention"
頑丈,"solid, firm, strong"
感触,"sense of touch, feeling, sensation"
肝心,"essential, fundamental, crucial"
肝腎,"essential, fundamental, crucial"
関税,"customs, duty, tariff"
岩石,rock
感染,"infection, contagion"
幹線,"main line, trunk line"
簡素,"simplicity, plain"
観点,point of view
感度,"sensitivity, severity (quake)"
カンニング,"cunning, cheat"
元年,first year (of a specific reign)
幹部,"management, executive"
完ぺき,"perfection, completeness, flawless"
勘弁,"pardon, forgiveness, forbearance"
感無量,"deep feeling, filled with emotion"
勧誘,"invitation, canvassing, inducement"
関与,"participation, taking part in"
寛容,"forbearance, tolerance, generosity, involvement"
元来,"originally, naturally"
観覧,viewing
慣例,"custom, precedent, of convention"
還暦,60th birthday
貫禄,"presence, dignity"
緩和,"relief, mitigation"
議案,legislative bill
危害,"injury, harm, danger"
企画,"planning, project"
規格,"standard, norm"
着飾る,to dress up
気兼ね,"hesitance, diffidence, feeling constraint"
気軽,"cheerful, buoyant, lighthearted"
危機,crisis
聞き取り,listening comprehension
効き目,"effect, virtue, efficacy"
帰京,returning to Tokyo
戯曲,"play, drama"
基金,"fund, foundation"
喜劇,"comedy, funny show"
議決,"resolution, decision, vote"
棄権,"abstain from voting, renunciation of a right"
既婚,married
気障,"affectation, conceit, snobbery"
記載,"mention, entry"
兆,"sign, omen, indication"
気質,"character, trait, temperament"
期日,"fixed date, settlement date"
きしむ,"to jar, to creak, to grate"
議事堂,Diet building
記述,"describing, descriptor"
気象,"weather, climate"
傷付く,"to be hurt, to be wounded, to get injured"
傷付ける,"to wound, to hurt someone's feelings"
犠牲,sacrifice
汽船,steamship
寄贈,"donation, presentation"
偽造,"forgery, fabrication, counterfeiting"
貴族,"noble, aristocrat"
議題,"topic of discussion, agenda"
鍛える,"to forge, to train, to discipline"
気立て,"good-natured, kind-hearted"
来る,"to come, to approach,"
きちっと,"exactly, perfectly"
几帳面,"methodical, punctual, steady"
きっかり,"exactly, precisely"
きっちり,"precisely, tightly"
きっぱり,"clearly, plainly, distinctly"
規定,"regulation, provisions"
起点,starting point
軌道,orbit; track
技能,"technical skill, ability, capacity"
規範,"model, standard, example"
気品,"grace, elegance"
気風,"character, traits, ethos"
起伏,undulation
規模,"scale, scope, plan, structure"
気まぐれ,"whim, caprice, uneven temper"
生真面目,"serious, sincerity"
期末,(end of the season or term)
きまりわるい,"feeling awkward, being ashamed"
記名,"signature, register"
規約,"agreement, rules, code"
脚色,"dramatization (e.g., film"
逆転,"(sudden) change, reversal, turn-around"
脚本,scenario
華奢,"delicate, slender"
客観,objective
キャッチ,catch
キャリア,"career, career government employee"
救援,"relief, rescue, reinforcement"
休学,"temporary absence from school, suspension"
究極,"ultimate, final, eventual"
窮屈,"narrow, tight, formal"
球根,(plant) bulb
救済,"relief, aid, rescue"
給仕,waiter
給食,"school lunch, providing a meal"
休戦,"truce, armistice"
宮殿,palace
旧知,"old friend, old friendship"
窮乏,poverty
寄与,"contribution, service"
強,strong
～狂,"maniac, fan, freak"
驚異,"wonder, miracle"
教科,"subject, curriculum"
協会,"association, society, organization"
共学,coeducation
共感,"sympathy, response"
境遇,"environment, circumstances"
教訓,"lesson, precept, moral instruction"
強行,"forcing, enforcement"
強硬,"firm, vigorous, stubborn"
教材,teaching materials
凶作,"bad harvest, poor crop"
業者,"trader, merchant"
教習,"training, instruction"
郷愁,"nostalgia, homesickness"
教職,teaching profession
興じる,"to amuse oneself, to make merry"
強制,"obligation, compulsion, enforcement"
行政,administration
業績,"achievement, work, contribution"
共存,coexistence
協定,"arrangement, pact, agreement"
郷土,homeland
脅迫,"threat, coercion"
業務,"business, duties, work"
共鳴,"resonance, sympathy"
郷里,"birth-place, home town"
強烈,"strong, intense, severe"
共和,"republicanism, cooperation"
局限,"limit, localize"
極端,"extreme, extremity"
居住,residence
拒絶,"refusal, rejection"
漁船,fishing boat
漁村,fishing village
拒否,"denial, rejection, refusal"
許容,"permission, pardon"
清らか,"clean, pure, chaste"
きらびやか,"gorgeous, gaudy, dazzling"
～きり,only
義理,"debt of gratitude, obligation"
切替,"exchange, conversion, switchover"
気流,atmospheric current
切れ目,"break, pause, gap"
疑惑,"doubt, misgivings, suspicion"
極めて,"exceedingly, extremely (written expression)"
近眼,nearsightedness
緊急,"urgent, pressing, emergency"
近郊,"suburbs, outskirts"
均衡,"equilibrium, balance"
禁じる,to prohibit
勤勉,"industry, diligence"
吟味,"examination, careful investigation"
勤務,"service, duty, work"
禁物,"taboo, forbidden thing"
勤労,"labor, exertion, diligent service"
クイズ,quiz
食い違う,"to cross each other, to differ"
空間,"space, room, airspace"
空腹,hunger
区画,"division, section, area"
区間,section
茎,stalk
区切り,"an end, a stop, punctuation"
くぐる,to pass through; to go around
くじ (～をひく),"lottery, lot"
くじびき,"lottery, drawn lot"
くすぐったい,ticklish
愚痴,"idle complaint, grumble"
口吟む,to humble
嘴,"beak, bill"
朽ちる,to rot
覆す,"to overturn, to upset, to overthrow"
くっきり,"distinctly, clearly, boldly"
屈折,"bending, indentation, refraction"
ぐっと,"firmly, fast, more"
首飾り,necklace
首輪,"necklace, choker"
組み込む,"to insert, to include, to cut in (printing)"
組み合わせる,"to join together, to combine, to join up"
蔵,"warehouse, cellar"
グレー,"grey, gray"
クレーン,crane
玄人,"expert, professional"
黒字,balance (figure) in the black
軍艦,"warship, battleship"
軍事,military affairs
君主,"ruler, monarch"
群集,"(social) group, crowd, mob"
群衆,"(social) group, crowd, mob"
軍備,"armaments, military preparations"
軍服,military or naval uniform
芸,"art, accomplishment, performance"
経過,"passage, progress"
軽快,"lively, casual, light"
警戒,"warning, admonition, vigilance"
敬具,Sincerely (used at the end of letter)
軽減,"reduction, lessening"
掲載,"appearance (e.g., article in paper)"
傾斜,"inclination, slope, dip"
形成,formation
形勢,"condition, situation, prospects"
軽率,"thoughtless, careless, hasty"
刑罰,"judgment, penalty, punishment"
経費,"expenses, cost, outlay"
警部,police inspector
転換,"convert, divert"
転居,"moving, changing residence"
転勤,transfer (to another office of a company)
点検,"inspection, examination, checking"
電源,"source of electricity, power (e.g., button on TV)"
天国,"paradise, heaven, Kingdom of Heaven"
天才,a genius
天災,"natural calamity, disaster"
展示,"exhibition, display"
伝説,"tradition, legend, folklore"
点線,dotted line
転じる,"to turn, to shift"
転ずる,"to turn, to shift"
天体,heavenly body
伝達,"transmission (e.g., news, communication, delivery)"
天地,"heaven and earth, the universe"
てんで,"(not) at all, altogether, entirely"
転任,change of post
展望,"view, outlook, prospect"
伝来,"ancestral, hereditary, imported"
転落,"fall, degradation"
問い合わせる,"to inquire, to seek information"
当～,"Our ~ (e.g., Hotel, plane, etc.)"
胴,"trunk, body, frame"
同意,"agreement, consent; same meaning"
動員,mobilization
同感,"agreement, same opinion, same feeling"
陶器,"pottery, ceramics"
討議,"debate, discussion"
動機,"motive, incentive"
等級,"grade, class"
同級,"the same grade, same class"
同居,living together
登校,attendance (at school)
統合,"integration, unification, synthesis"
動向,"trend, tendency, movement, attitude"
投資,investment
同情,"sympathy, compassion, sympathize"
道場,"(arch) dojo, hall used for martial arts training, mandala"
統制,"regulation, control"
当選,"being elected, winning the prize"
逃走,"flight, desertion, escape"
統率,"command, generalship, leadership"
到達,"reaching, attaining, arrival"
統治,"rule, reign, governing"
仕切る,"to partition, to divide, to mark off"
資金,"funds, capital"
軸,"axis, stem, shaft"
しくじる,"to fail, to fall through, to blunder"
仕組,"structure, mechanism"
死刑,death penalty
湿気る,"to be damp, to be moist"
施行,"enforcement, operation"
思考,thought
志向,"intention, aim"
嗜好,"taste, liking, preference"
事項,"matter(s), item(s), facts"
時刻表,"timetable, (train) schedule"
地獄,hell
時差,time difference
自在,"freely, at will"
視察,"inspection, observation"
資産,"property, fortune, assets"
支持,support
自主,"independence, autonomy"
自首,"surrender, give oneself up"
刺繍,embroidery
市場,(the) market (as a concept)
辞職,resignation
雫,drop (of water)
システム,system
沈める,"to sink, to submerge"
施設,"establishment, facility"
事前,"prior, beforehand, in advance"
子息,(hon.) son
持続,"continuation, endurance"
自尊心,"self-respect, conceit"
慕う,to yearn to adore
下心,"secret intention, motive"
下地,"groundwork, foundation"
親しむ,"to be intimate with, to befriend"
下調べ,preliminary investigation
愛想,sociability
間柄,relationship
合間,interval
敢えて,"dare (to do), venture (to do), challenge (to do)"
仰ぐ,"to look up (to), to respect; to ask for"
垢,"dirt, filth"
赤字,"deficit, go in the red"
明かす,to reveal; to stay up
赤らむ,"to become red, to blush"
上がり,"ascent; income; completion, stop"
諦め,"resignation, reconciliation, consolation"
アクセル,(abbr.) accelerator
あくどい,gaudy vicious
顎,chin
憧れ,"yearning, longing, aspiration"
麻,hemp
あざ,"birthmark, bruise"
浅ましい,"shameful, mean, despicable"
欺く,to deceive
鮮やか,"vivid, clear"
嘲笑う,"to sneer at, to ridicule"
悪しからず,"don't take me wrong, but..., I'm sorry"
味わい,"flavor, relish"
焦る,"to be in a hurry, to be impatient"
あせる (こえが～),"to fade, to discolor"
値,"value, price, worth"
値する,"to be worth, to deserve"
悪化,"deterioration, worsen"
扱い,"treatment, service"
呆気ない,"not enough, too quick (short, long, etc.)"
あっさり,"easily, readily, quickly"
斡旋,"kind offices, mediation"
圧倒,"overwhelm, overpower"
圧迫,"pressure, coercion, oppression"
あつらえる,"to give an order, to place an order"
圧力,"stress, pressure"
当て,expectations; depend
～宛,"for…(e.g., In a letter)"
当て字,"phonetic-equivalent character, substitute character"
跡継ぎ,"heir, successor"
後回し,"putting off, postponing"
油絵,oil painting
アプローチ,approach (in golf)
あべこべ,"contrary, opposite, inverse"
甘える,"to behave like a spoiled child, to fawn on"
雨具,rain gear
甘口,sweet flavor
アマチュア,amateur
網,net
操る,"to manipulate, to operate, to pull strings"
危ぶむ,"to fear, to have misgivings, to be doubtful"
あやふや,"uncertain, vague, ambiguous"
過ち,"fault, error, indiscretion"
誤る,to make a mistake
歩み,"step, progress, history"
歩む,to walk
予め,"in advance, previously"
荒らす,to damage; to invade
争い,"dispute, quarrel, conflict"
改まる,to be renewed; to be formal
荒っぽい,"rough, rude"
アラブ,Arab
霰,"hail (e.g., falling ice balls)"
有り様,"state, condition"
ありのまま,"the truth, as it is, frankly"
ありふれる,"common, ordinary, routine"
アルカリ,alkali
アルミ,"aluminum (Al, aluminum)"
アワー,hour
合わす,"to join together, to face, to unite"
～合せ,in all
アンコール,encore
暗殺,assassination
暗算,mental arithmetic
暗示,"hint, suggestion"
案じる,"to be anxious, to ponder"
安静,rest
案の定,"sure enough, as usual"
いい加減,"random, irresponsible"
言い訳,"excuse, explanation"
イェス,yes; Jesus
家出,running away from home
生かす,to keep something alive; to make use of
いかに,"how, in what way"
いかにも,truly (same as 実に (じつに))
異議,"objection, dissent, protest"
生き甲斐,"something one lives for, very important"
行き違い,"misunderstanding, disagreement"
意気込む,to be enthusiastic about
育成,"rearing, training, cultivation"
幾多,"many, numerous"
"(花を〜) 生ける, 活ける",to arrange (flowers)
異見,"different opinion, objection"
意向,"intention, idea, inclination"
移行,switching over to
いざ,"now, come (now), crucial moment"
移住,"migration, immigration"
衣装,"clothing, costume, outfit"
いじる,"to touch, to tamper with"
異性,the opposite sex
遺跡,historic ruins
依存,"dependence, dependent, reliance"
委託,"consign (goods (for sale) to a firm), entrust"
いたって,"very much, exceedingly, extremely"
出世,"promotion, successful career, eminence"
出題,proposing a question
出動,"mobilization, action"
出費,"expenses, disbursements"
出品,"exhibit, display"
主導,main leadership
主任,"person in charge, responsible official"
首脳,"head, leader"
守備,defense
手法,technique
樹木,"trees and shrubs, arbor"
樹立,"establish, create"
準急,"local express (train, slower than an express)"
準じる,"to follow, to conform, to apply to"
～署,department
～症,disease
～証,"proof, certificate"
～嬢,young woman
上位,"superior, higher order"
上演,art performance
城下,land near the castle
消去,"elimination, erasing"
上空,"sky, high-altitude sky, upper air"
衝撃,"shock, crash, impact, ballistic"
証言,"evidence, testimony"
証拠,"evidence, proof"
照合,"check, verification"
詳細,"detail, particulars"
上昇,"rising, ascending, climbing"
昇進,promotion
称する,"to take the name of, to call oneself"
情勢,"state of things, condition, situation"
消息,"news, letter, circumstances"
承諾,"consent, agreement"
情緒,"emotion, feeling"
情緒,"emotion, feeling"
象徴,symbol
小児科,pediatrics
使用人,"employee, servant"
情熱,"passion, enthusiasm, zeal"
譲歩,"concession, conciliation, compromise"
条約,"treaty, pact"
勝利,"victory, triumph, win"
上陸,"landing, disembarkation"
蒸溜,distillation
奨励,"encouragement, promotion"
ショー,show
除外,"exception, exclusion"
職員,"staff member, personnel"
植民地,colony
職務,professional duties
諸君,"Gentlemen!, Ladies!"
助言,"advice, suggestion"
徐行,going slowly
所在,whereabouts
所持,"possession, owning"
所属,"attached to, belong to"
処置,treatment
しょっちゅう,"always, constantly"
所定,"fixed, prescribed"
所得,income
処罰,punishment
初版,first edition
書評,book review
処分,"disposal, dealing, punishment"
庶民,"masses, common people"
庶務,general affairs
所有,"one's possessions, ownership"
調べ,"investigation, inspection"
自立,"independence, self-reliance"
記す,"to note, to write down"
指令,"orders, instructions, directive"
～心,mind of ~
陣,"battle formation, camp, encampment"
進化,"evolution, progress"
人格,"personality, character"
審議,deliberation
新婚,newly-wed
審査,"judging, inspection, examination"
人材,man of talent
紳士,gentleman
真実,"truth, reality"
信者,"believer, devotee"
真珠,pearl
進出,advancement
心情,mentality
新人,"new face, newcomer"
神聖,"holiness, sacredness, dignity"
親善,friendship
真相,"truth, real situation"
迅速,"quick, fast, prompt"
人体,human body
新築,"new building, new construction"
心中,double suicide
進呈,presentation
進展,"progress, development"
神殿,"temple, sacred place"
進度,progress
振動,"oscillation, vibration"
新入生,"new student, first-year student, freshman"
信任,"trust, confidence, credence"
神秘,mystery
辛抱,"patience, endurance"
人民,"people, public"
侵略,"aggression, invasion, raid"
診療,medical examination and treatment
粋,essence
水源,source of river
推進,"propulsion, driving force"
吹奏,playing wind instruments
推測,"guess, conjecture"
水田,(water-filled) paddy field
推理,"reasoning, inference, mystery or detective genre"
数詞,numeral
崇拝,"worship, adoration"
据え付ける,"to install, to equip, to mount"
据える,"to set, to lay, to place"
すがすがしい,"fresh, refreshing"
救い,"help, aid, relief"
すくう (みずを～),to scoop
健やか,"vigorous, healthy, sound"
濯ぐ,"to rinse, to wash out"
進み,progress
裾,"(trouser) cuff, (skirt) hem, cut edge of a hairdo"
スタジオ,studio
スチーム,steam
ストライキ,strike
スト,(abbr.) strike
ストロー,straw
ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)"
すばしこい,"nimble, smart, quick"
素早い,"fast, quick"
ずばり,"decisively, unreservedly, frankly"
スプリング,spring
スペース,space
ずぶぬれ,"soaked, dripping wet"
スポーツカー,sports car
澄ます,"to clear, to make clear, to listen for"
清ます,"to clear, to make clear, to listen for"
済ます,to finish; to settle; to do without
すみやか,speedy
スラックス,slacks
ずらっと,"in a line, in a row"
ずるずる,"dragging on, sound of sniffling"
ずれ,"difference, gap"
すれちがい,chance encounter
